timestamp,model_name,lr,n_epochs,version,strat,batch_size,best_epoch,best_test_accuracy,train_directory
20240722_010830,resnet50.tv_in1k,0.0001,50,v4,1,16,7,65.9794,./BF/datasv4/strat_1/train
20240722_011449,resnet101.tv_in1k,0.0001,50,v4,1,16,2,68.0412,./BF/datasv4/strat_1/train
20240722_012121,tf_efficientnetv2_m.in21k,0.0001,50,v4,1,16,25,62.8866,./BF/datasv4/strat_1/train
20240722_012813,tf_efficientnetv2_l.in21k,0.0001,50,v4,1,16,1,67.0103,./BF/datasv4/strat_1/train
20240722_013528,resnet50.tv_in1k,0.0001,50,v4,3,16,19,67.0103,./BF/datasv4/strat_3/train
20240722_014336,resnet101.tv_in1k,0.0001,50,v4,3,16,45,71.1340,./BF/datasv4/strat_3/train
20240722_015203,tf_efficientnetv2_m.in21k,0.0001,50,v4,3,16,32,67.0103,./BF/datasv4/strat_3/train
20240722_020108,tf_efficientnetv2_l.in21k,0.0001,50,v4,3,16,40,75.2577,./BF/datasv4/strat_3/train
20240722_021053,resnet50.tv_in1k,0.0001,50,v4,5,16,35,69.0722,./BF/datasv4/strat_5/train
20240722_022059,resnet101.tv_in1k,0.0001,50,v4,5,16,21,69.0722,./BF/datasv4/strat_5/train
20240722_023122,tf_efficientnetv2_m.in21k,0.0001,50,v4,5,16,13,72.1649,./BF/datasv4/strat_5/train
20240722_024235,tf_efficientnetv2_l.in21k,0.0001,50,v4,5,16,33,80.4124,./BF/datasv4/strat_5/train
20240722_100115,resnet50.tv_in1k,0.0001,50,v4,new1,16,17,64.9484,./BF/datasv4/strat_new1/train
20240722_100757,resnet101.tv_in1k,0.0001,50,v4,new1,16,4,65.9794,./BF/datasv4/strat_new1/train
20240722_101453,tf_efficientnetv2_m.in21k,0.0001,50,v4,new1,16,6,69.0722,./BF/datasv4/strat_new1/train
20240722_102226,tf_efficientnetv2_l.in21k,0.0001,50,v4,new1,16,43,79.3814,./BF/datasv4/strat_new1/train
20240722_103028,resnet50.tv_in1k,0.0001,50,v4,new3,16,14,72.1649,./BF/datasv4/strat_new3/train
20240722_103914,resnet101.tv_in1k,0.0001,50,v4,new3,16,1,77.3196,./BF/datasv4/strat_new3/train
20240722_104812,tf_efficientnetv2_m.in21k,0.0001,50,v4,new3,16,49,75.2577,./BF/datasv4/strat_new3/train
20240722_105812,tf_efficientnetv2_l.in21k,0.0001,50,v4,new3,16,44,79.3814,./BF/datasv4/strat_new3/train
20240722_110858,resnet50.tv_in1k,0.0001,50,v4,new5,16,27,72.1649,./BF/datasv4/strat_new5/train
20240722_111945,resnet101.tv_in1k,0.0001,50,v4,new5,16,16,70.1031,./BF/datasv4/strat_new5/train
20240722_113050,tf_efficientnetv2_m.in21k,0.0001,50,v4,new5,16,41,90.7216,./BF/datasv4/strat_new5/train
20240722_114318,tf_efficientnetv2_l.in21k,0.0001,50,v4,new5,16,49,88.6598,./BF/datasv4/strat_new5/train
