timestamp,model_name,lr,momentum,weight_decay,n_epochs,version,strat,batch_size,best_epoch,best_test_accuracy,train_directory
20240723_172658,resnet50.tv_in1k,0.1,0.9,0.0002,100,v4,1,16,3,59.7938,./BF/datasv4/strat_1/train
20240723_173914,resnet101.tv_in1k,0.1,0.9,0.0002,100,v4,1,16,0,59.7938,./BF/datasv4/strat_1/train
20240723_175144,tf_efficientnetv2_m.in21k,0.1,0.9,0.0002,100,v4,1,16,81,63.9175,./BF/datasv4/strat_1/train
20240723_180547,tf_efficientnetv2_l.in21k,0.1,0.9,0.0002,100,v4,1,16,29,62.8866,./BF/datasv4/strat_1/train
20240723_182059,resnet50.tv_in1k,0.1,0.9,0.0002,100,v4,new1,16,2,59.7938,./BF/datasv4/strat_new1/train
20240723_183343,resnet101.tv_in1k,0.1,0.9,0.0002,100,v4,new1,16,4,59.7938,./BF/datasv4/strat_new1/train
20240723_184646,tf_efficientnetv2_m.in21k,0.1,0.9,0.0002,100,v4,new1,16,18,63.9175,./BF/datasv4/strat_new1/train
20240723_190147,tf_efficientnetv2_l.in21k,0.1,0.9,0.0002,100,v4,new1,16,16,63.9175,./BF/datasv4/strat_new1/train
20240723_191825,resnet50.tv_in1k,0.1,0.9,0.0002,100,v4,5,16,53,62.8866,./BF/datasv4/strat_5/train
20240723_193830,resnet101.tv_in1k,0.1,0.9,0.0002,100,v4,5,16,0,59.7938,./BF/datasv4/strat_5/train
20240723_195852,tf_efficientnetv2_m.in21k,0.1,0.9,0.0002,100,v4,5,16,36,60.8247,./BF/datasv4/strat_5/train
20240723_202249,tf_efficientnetv2_l.in21k,0.1,0.9,0.0002,100,v4,5,16,55,69.0722,./BF/datasv4/strat_5/train
20240723_204923,resnet50.tv_in1k,0.1,0.9,0.0002,100,v4,new5,16,53,62.8866,./BF/datasv4/strat_new5/train
20240723_211013,resnet101.tv_in1k,0.1,0.9,0.0002,100,v4,new5,16,91,67.0103,./BF/datasv4/strat_new5/train
20240723_213116,tf_efficientnetv2_m.in21k,0.1,0.9,0.0002,100,v4,new5,16,0,59.7938,./BF/datasv4/strat_new5/train
20240723_215548,tf_efficientnetv2_l.in21k,0.1,0.9,0.0002,100,v4,new5,16,44,60.8247,./BF/datasv4/strat_new5/train
20240723_234058,resnet50.tv_in1k,0.01,0.9,0.0002,100,v4,1,16,77,67.0103,./BF/datasv4/strat_1/train
20240723_235340,resnet101.tv_in1k,0.01,0.9,0.0002,100,v4,1,16,34,69.0722,./BF/datasv4/strat_1/train
20240724_000638,tf_efficientnetv2_m.in21k,0.01,0.9,0.0002,100,v4,1,16,25,69.0722,./BF/datasv4/strat_1/train
20240724_002100,tf_efficientnetv2_l.in21k,0.01,0.9,0.0002,100,v4,1,16,29,63.9175,./BF/datasv4/strat_1/train
20240724_003616,resnet50.tv_in1k,0.01,0.9,0.0002,100,v4,new1,16,14,68.0412,./BF/datasv4/strat_new1/train
20240724_004902,resnet101.tv_in1k,0.01,0.9,0.0002,100,v4,new1,16,1,59.7938,./BF/datasv4/strat_new1/train
20240724_010212,tf_efficientnetv2_m.in21k,0.01,0.9,0.0002,100,v4,new1,16,67,63.9175,./BF/datasv4/strat_new1/train
20240724_011713,tf_efficientnetv2_l.in21k,0.01,0.9,0.0002,100,v4,new1,16,58,57.7320,./BF/datasv4/strat_new1/train
20240724_013352,resnet50.tv_in1k,0.01,0.9,0.0002,100,v4,5,16,19,73.1959,./BF/datasv4/strat_5/train
20240724_015406,resnet101.tv_in1k,0.01,0.9,0.0002,100,v4,5,16,26,68.0412,./BF/datasv4/strat_5/train
20240724_021449,tf_efficientnetv2_m.in21k,0.01,0.9,0.0002,100,v4,5,16,8,64.9485,./BF/datasv4/strat_5/train
20240724_023759,tf_efficientnetv2_l.in21k,0.01,0.9,0.0002,100,v4,5,16,9,63.9175,./BF/datasv4/strat_5/train
20240724_030404,resnet50.tv_in1k,0.01,0.9,0.0002,100,v4,new5,16,10,64.9485,./BF/datasv4/strat_new5/train
20240724_032424,resnet101.tv_in1k,0.01,0.9,0.0002,100,v4,new5,16,51,65.9794,./BF/datasv4/strat_new5/train
20240724_034520,tf_efficientnetv2_m.in21k,0.01,0.9,0.0002,100,v4,new5,16,10,64.9485,./BF/datasv4/strat_new5/train
20240724_040950,tf_efficientnetv2_l.in21k,0.01,0.9,0.0002,100,v4,new5,16,69,69.0722,./BF/datasv4/strat_new5/train
20240724_211433,resnet50.tv_in1k,0.01,0.9,0.0002,100,v4,10,16,16,74.2268,./BF/datasv4/strat_10/train
20240724_214502,resnet101.tv_in1k,0.01,0.9,0.0002,100,v4,10,16,15,64.9485,./BF/datasv4/strat_10/train
20240724_221559,tf_efficientnetv2_m.in21k,0.01,0.9,0.0002,100,v4,10,16,14,60.8247,./BF/datasv4/strat_10/train
20240724_225054,tf_efficientnetv2_l.in21k,0.01,0.9,0.0002,100,v4,10,16,25,62.8866,./BF/datasv4/strat_10/train
20240724_233023,resnet50.tv_in1k,0.01,0.9,0.0002,100,v4,new10,16,35,78.3505,./BF/datasv4/strat_new10/train
20240725_000122,resnet101.tv_in1k,0.01,0.9,0.0002,100,v4,new10,16,7,80.4124,./BF/datasv4/strat_new10/train
20240725_003157,tf_efficientnetv2_m.in21k,0.01,0.9,0.0002,100,v4,new10,16,14,62.8866,./BF/datasv4/strat_new10/train
20240725_010803,tf_efficientnetv2_l.in21k,0.01,0.9,0.0002,100,v4,new10,16,57,67.0103,./BF/datasv4/strat_new10/train
20240725_041203,resnet50.tv_in1k,0.001,0.9,0.0002,100,v4,new1,16,51,64.9485,./BF/datasv4/strat_new1/train
20240725_042534,resnet101.tv_in1k,0.001,0.9,0.0002,100,v4,new1,16,41,65.9794,./BF/datasv4/strat_new1/train
20240725_043856,tf_efficientnetv2_m.in21k,0.001,0.9,0.0002,100,v4,new1,16,76,67.0103,./BF/datasv4/strat_new1/train
20240725_045421,tf_efficientnetv2_l.in21k,0.001,0.9,0.0002,100,v4,new1,16,61,74.2268,./BF/datasv4/strat_new1/train
20240725_051137,resnet50.tv_in1k,0.001,0.9,0.0002,100,v4,new3,16,36,67.0103,./BF/datasv4/strat_new3/train
20240725_052837,resnet101.tv_in1k,0.001,0.9,0.0002,100,v4,new3,16,9,75.2577,./BF/datasv4/strat_new3/train
20240725_054604,tf_efficientnetv2_m.in21k,0.001,0.9,0.0002,100,v4,new3,16,22,82.4742,./BF/datasv4/strat_new3/train
20240725_060557,tf_efficientnetv2_l.in21k,0.001,0.9,0.0002,100,v4,new3,16,40,90.7216,./BF/datasv4/strat_new3/train
20240725_062803,resnet50.tv_in1k,0.001,0.9,0.0002,100,v4,new5,16,35,71.1340,./BF/datasv4/strat_new5/train
20240725_064816,resnet101.tv_in1k,0.001,0.9,0.0002,100,v4,new5,16,33,75.2577,./BF/datasv4/strat_new5/train
20240725_070904,tf_efficientnetv2_m.in21k,0.001,0.9,0.0002,100,v4,new5,16,74,90.7216,./BF/datasv4/strat_new5/train
20240725_073330,tf_efficientnetv2_l.in21k,0.001,0.9,0.0002,100,v4,new5,16,20,95.8763,./BF/datasv4/strat_new5/train
20240725_080055,resnet50.tv_in1k,0.001,0.9,0.0002,100,v4,new10,16,52,69.0722,./BF/datasv4/strat_new10/train
20240725_083045,resnet101.tv_in1k,0.001,0.9,0.0002,100,v4,new10,16,54,65.9794,./BF/datasv4/strat_new10/train
20240725_090112,tf_efficientnetv2_m.in21k,0.001,0.9,0.0002,100,v4,new10,16,64,76.2887,./BF/datasv4/strat_new10/train
20240725_093712,tf_efficientnetv2_l.in21k,0.001,0.9,0.0002,100,v4,new10,16,76,80.4124,./BF/datasv4/strat_new10/train
20240725_101809,resnet50.tv_in1k,0.001,0.9,0.0002,100,v4,10,16,9,62.8866,./BF/datasv4/strat_10/train
20240725_104721,resnet101.tv_in1k,0.001,0.9,0.0002,100,v4,10,16,5,61.8557,./BF/datasv4/strat_10/train
20240725_111721,tf_efficientnetv2_m.in21k,0.001,0.9,0.0002,100,v4,10,16,1,63.9175,./BF/datasv4/strat_10/train
20240725_120957,resnet50.tv_in1k,0.0001,0.9,0.0002,100,v4,1,16,37,59.7938,./BF/datasv4/strat_1/train
20240725_115217,tf_efficientnetv2_l.in21k,0.001,0.9,0.0002,100,v4,10,16,3,61.8557,./BF/datasv4/strat_10/train
20240725_122314,resnet101.tv_in1k,0.0001,0.9,0.0002,100,v4,1,16,38,64.9485,./BF/datasv4/strat_1/train
20240725_123645,tf_efficientnetv2_m.in21k,0.0001,0.9,0.0002,100,v4,1,16,19,62.8866,./BF/datasv4/strat_1/train
20240725_123329,resnet50.tv_in1k,0.001,0.9,0.0002,100,v4,new10,16,48,68.0412,./BF/datasv4/strat_new10/train
20240725_125216,tf_efficientnetv2_l.in21k,0.0001,0.9,0.0002,100,v4,1,16,0,59.7938,./BF/datasv4/strat_1/train
20240725_130842,resnet50.tv_in1k,0.0001,0.9,0.0002,100,v4,3,16,30,61.8557,./BF/datasv4/strat_3/train
20240725_130613,resnet101.tv_in1k,0.001,0.9,0.0002,100,v4,new10,16,5,67.0103,./BF/datasv4/strat_new10/train
20240725_132627,resnet101.tv_in1k,0.0001,0.9,0.0002,100,v4,3,16,29,65.9794,./BF/datasv4/strat_3/train
20240725_134421,tf_efficientnetv2_m.in21k,0.0001,0.9,0.0002,100,v4,3,16,3,67.0103,./BF/datasv4/strat_3/train
20240725_133930,tf_efficientnetv2_m.in21k,0.001,0.9,0.0002,100,v4,new10,16,57,80.4124,./BF/datasv4/strat_new10/train
20240725_140422,tf_efficientnetv2_l.in21k,0.0001,0.9,0.0002,100,v4,3,16,6,61.8557,./BF/datasv4/strat_3/train
20240725_142631,resnet50.tv_in1k,0.0001,0.9,0.0002,100,v4,5,16,0,59.7938,./BF/datasv4/strat_5/train
20240725_141821,tf_efficientnetv2_l.in21k,0.001,0.9,0.0002,100,v4,new10,16,82,88.6598,./BF/datasv4/strat_new10/train
20240725_144917,resnet101.tv_in1k,0.0001,0.9,0.0002,100,v4,5,16,0,59.7938,./BF/datasv4/strat_5/train
20240725_151219,tf_efficientnetv2_m.in21k,0.0001,0.9,0.0002,100,v4,5,16,67,63.9175,./BF/datasv4/strat_5/train
20240725_154019,resnet50.tv_in1k,0.0001,0.9,0.0002,100,v4,10,16,0,59.7938,./BF/datasv4/strat_10/train
20240725_161112,resnet101.tv_in1k,0.0001,0.9,0.0002,100,v4,10,16,38,64.9485,./BF/datasv4/strat_10/train
20240725_164237,tf_efficientnetv2_m.in21k,0.0001,0.9,0.0002,100,v4,10,16,2,60.8247,./BF/datasv4/strat_10/train
20240725_171734,tf_efficientnetv2_l.in21k,0.0001,0.9,0.0002,100,v4,10,16,1,60.8247,./BF/datasv4/strat_10/train
20240725_175707,resnet50.tv_in1k,0.0001,0.9,0.0002,100,v4,new1,16,64,57.7320,./BF/datasv4/strat_new1/train
20240725_181002,resnet101.tv_in1k,0.0001,0.9,0.0002,100,v4,new1,16,57,60.8247,./BF/datasv4/strat_new1/train
20240725_182323,tf_efficientnetv2_m.in21k,0.0001,0.9,0.0002,100,v4,new1,16,30,68.0412,./BF/datasv4/strat_new1/train
20240725_183833,tf_efficientnetv2_l.in21k,0.0001,0.9,0.0002,100,v4,new1,16,5,69.0722,./BF/datasv4/strat_new1/train
20240725_185512,resnet50.tv_in1k,0.0001,0.9,0.0002,100,v4,new3,16,56,64.9485,./BF/datasv4/strat_new3/train
20240725_191153,resnet101.tv_in1k,0.0001,0.9,0.0002,100,v4,new3,16,37,74.2268,./BF/datasv4/strat_new3/train
20240725_192920,tf_efficientnetv2_m.in21k,0.0001,0.9,0.0002,100,v4,new3,16,34,63.9175,./BF/datasv4/strat_new3/train
20240725_194943,tf_efficientnetv2_l.in21k,0.0001,0.9,0.0002,100,v4,new3,16,65,67.0103,./BF/datasv4/strat_new3/train
20240725_201219,resnet50.tv_in1k,0.0001,0.9,0.0002,100,v4,new5,16,48,63.9175,./BF/datasv4/strat_new5/train
20240725_203337,resnet101.tv_in1k,0.0001,0.9,0.0002,100,v4,new5,16,85,64.9485,./BF/datasv4/strat_new5/train
20240725_210332,resnet50.tv_in1k,0.0002,0.9,0.0002,100,v4,1,16,12,64.9485,./BF/datasv4/strat_1/train
20240725_205513,tf_efficientnetv2_m.in21k,0.0001,0.9,0.0002,100,v4,new5,16,17,64.9485,./BF/datasv4/strat_new5/train
20240725_211713,resnet101.tv_in1k,0.0002,0.9,0.0002,100,v4,1,16,0,61.8557,./BF/datasv4/strat_1/train
20240725_213053,tf_efficientnetv2_m.in21k,0.0002,0.9,0.0002,100,v4,1,16,2,58.7629,./BF/datasv4/strat_1/train
20240725_212129,tf_efficientnetv2_l.in21k,0.0001,0.9,0.0002,100,v4,new5,16,62,64.9485,./BF/datasv4/strat_new5/train
20240725_214622,tf_efficientnetv2_l.in21k,0.0002,0.9,0.0002,100,v4,1,16,5,62.8866,./BF/datasv4/strat_1/train
20240725_220254,resnet50.tv_in1k,0.0002,0.9,0.0002,100,v4,3,16,49,62.8866,./BF/datasv4/strat_3/train
20240725_215128,resnet50.tv_in1k,0.0001,0.9,0.0002,100,v4,new10,16,65,61.8557,./BF/datasv4/strat_new10/train
20240725_222037,resnet101.tv_in1k,0.0002,0.9,0.0002,100,v4,3,16,79,64.9485,./BF/datasv4/strat_3/train
20240725_222438,resnet101.tv_in1k,0.0001,0.9,0.0002,100,v4,new10,16,68,63.9175,./BF/datasv4/strat_new10/train
20240725_223855,tf_efficientnetv2_m.in21k,0.0002,0.9,0.0002,100,v4,3,16,75,62.8866,./BF/datasv4/strat_3/train
20240725_225920,tf_efficientnetv2_l.in21k,0.0002,0.9,0.0002,100,v4,3,16,67,65.9794,./BF/datasv4/strat_3/train
20240725_225817,tf_efficientnetv2_m.in21k,0.0001,0.9,0.0002,100,v4,new10,16,1,60.8247,./BF/datasv4/strat_new10/train
