timestamp,model_name,lr,n_epochs,version,strat,batch_size,best_epoch,best_test_accuracy,train_directory
20240721_172851,resnet50.tv_in1k,0.005,55,v4,1,16,37,60.8247,./BF/datasv4/strat_1/train
20240721_173541,resnet101.tv_in1k,0.005,55,v4,1,16,2,59.7938,./BF/datasv4/strat_1/train
20240721_174238,tf_efficientnetv2_m.in21k,0.005,55,v4,1,16,24,61.8557,./BF/datasv4/strat_1/train
20240721_175005,tf_efficientnetv2_l.in21k,0.0001,50,v4,1,16,22,68.0412,./BF/datasv4/strat_1/train
20240721_200225,resnet50.tv_in1k,0.0001,50,v4,new1,16,22,64.9484,./BF/datasv4/strat_new1/train
20240721_200914,resnet101.tv_in1k,0.0001,50,v4,new1,16,20,68.0412,./BF/datasv4/strat_new1/train
20240721_201618,tf_efficientnetv2_m.in21k,0.0001,50,v4,new1,16,29,68.0412,./BF/datasv4/strat_new1/train
20240721_202356,tf_efficientnetv2_l.in21k,0.0001,50,v4,new1,16,47,69.0722,./BF/datasv4/strat_new1/train
20240721_203205,resnet50.tv_in1k,0.0001,50,v4,new3,16,39,71.1340,./BF/datasv4/strat_new3/train
20240721_204035,resnet101.tv_in1k,0.0001,50,v4,new3,16,24,71.1340,./BF/datasv4/strat_new3/train
20240721_204939,tf_efficientnetv2_m.in21k,0.0001,50,v4,new3,16,38,70.1031,./BF/datasv4/strat_new3/train
20240721_205937,tf_efficientnetv2_l.in21k,0.0001,50,v4,new3,16,33,75.2577,./BF/datasv4/strat_new3/train
20240721_211028,resnet50.tv_in1k,0.0001,50,v4,new5,16,18,72.1649,./BF/datasv4/strat_new5/train
20240721_212116,resnet101.tv_in1k,0.0001,50,v4,new5,16,16,69.0722,./BF/datasv4/strat_new5/train
20240721_213223,tf_efficientnetv2_m.in21k,0.0001,50,v4,new5,16,40,77.3196,./BF/datasv4/strat_new5/train
20240721_214435,tf_efficientnetv2_l.in21k,0.0001,50,v4,new5,16,45,78.3505,./BF/datasv4/strat_new5/train
20240721_220631,resnet50.tv_in1k,0.0001,50,v4,1,16,46,67.0103,./BF/datasv4/strat_1/train
20240721_215755,resnet50.tv_in1k,0.0001,50,v4,new10,16,22,69.0722,./BF/datasv4/strat_new10/train
20240721_221332,resnet101.tv_in1k,0.0001,50,v4,1,16,13,68.0412,./BF/datasv4/strat_1/train
20240721_222035,tf_efficientnetv2_m.in21k,0.0001,50,v4,1,16,36,68.0412,./BF/datasv4/strat_1/train
20240721_221339,resnet101.tv_in1k,0.0001,50,v4,new10,16,22,65.9794,./BF/datasv4/strat_new10/train
20240721_222815,tf_efficientnetv2_l.in21k,0.0001,50,v4,1,16,25,64.9484,./BF/datasv4/strat_1/train
20240721_223620,resnet50.tv_in1k,0.0001,50,v4,3,16,24,72.1649,./BF/datasv4/strat_3/train
20240721_223037,tf_efficientnetv2_m.in21k,0.0001,50,v4,new10,16,28,74.2268,./BF/datasv4/strat_new10/train
20240721_224526,resnet101.tv_in1k,0.0001,50,v4,3,16,17,71.1340,./BF/datasv4/strat_3/train
20240721_225450,tf_efficientnetv2_m.in21k,0.0001,50,v4,3,16,6,68.0412,./BF/datasv4/strat_3/train
20240721_224915,tf_efficientnetv2_l.in21k,0.0001,50,v4,new10,16,26,81.4433,./BF/datasv4/strat_new10/train
20240721_230454,tf_efficientnetv2_l.in21k,0.0001,50,v4,3,16,44,79.3814,./BF/datasv4/strat_3/train
20240721_231517,resnet50.tv_in1k,0.0001,50,v4,5,16,24,71.1340,./BF/datasv4/strat_5/train
20240721_232537,resnet101.tv_in1k,0.0001,50,v4,5,16,11,71.1340,./BF/datasv4/strat_5/train
20240721_233621,tf_efficientnetv2_m.in21k,0.0001,50,v4,5,16,49,74.2268,./BF/datasv4/strat_5/train
20240721_234808,tf_efficientnetv2_l.in21k,0.0001,50,v4,5,16,34,76.2887,./BF/datasv4/strat_5/train
20240722_000055,resnet50.tv_in1k,0.0001,50,v4,10,16,26,70.1031,./BF/datasv4/strat_10/train
20240722_001606,resnet101.tv_in1k,0.0001,50,v4,10,16,36,69.0722,./BF/datasv4/strat_10/train
20240722_003120,tf_efficientnetv2_m.in21k,0.0001,50,v4,10,16,32,73.1959,./BF/datasv4/strat_10/train
20240722_004813,tf_efficientnetv2_l.in21k,0.0001,50,v4,10,16,17,81.4433,./BF/datasv4/strat_10/train
20240722_211444,resnet50.tv_in1k,0.0001,100,v4,new1,16,28,65.9794,./BF/datasv4/strat_new1/train
20240722_212803,resnet101.tv_in1k,0.0001,100,v4,new1,16,57,69.0722,./BF/datasv4/strat_new1/train
20240722_214145,tf_efficientnetv2_m.in21k,0.0001,100,v4,new1,16,63,69.0722,./BF/datasv4/strat_new1/train
20240722_215647,tf_efficientnetv2_l.in21k,0.0001,100,v4,new1,16,43,71.1340,./BF/datasv4/strat_new1/train
20240722_221258,resnet50.tv_in1k,0.0001,100,v4,new3,16,47,72.1649,./BF/datasv4/strat_new3/train
20240722_223018,resnet101.tv_in1k,0.0001,100,v4,new3,16,11,73.1959,./BF/datasv4/strat_new3/train
20240722_224801,tf_efficientnetv2_m.in21k,0.0001,100,v4,new3,16,81,72.1649,./BF/datasv4/strat_new3/train
20240722_230731,tf_efficientnetv2_l.in21k,0.0001,100,v4,new3,16,56,81.4433,./BF/datasv4/strat_new3/train
20240722_232847,resnet50.tv_in1k,0.0001,100,v4,new5,16,64,73.1959,./BF/datasv4/strat_new5/train
20240722_234955,resnet101.tv_in1k,0.0001,100,v4,new5,16,21,75.2577,./BF/datasv4/strat_new5/train
20240723_001131,tf_efficientnetv2_m.in21k,0.0001,100,v4,new5,16,78,72.1649,./BF/datasv4/strat_new5/train
20240723_003035,resnet50.tv_in1k,0.0001,100,v4,1,16,53,68.0412,./BF/datasv4/strat_1/train
20240723_004427,resnet101.tv_in1k,0.0001,100,v4,1,16,21,68.0412,./BF/datasv4/strat_1/train
20240723_003607,tf_efficientnetv2_l.in21k,0.0001,100,v4,new5,16,76,84.5361,./BF/datasv4/strat_new5/train
20240723_005816,tf_efficientnetv2_m.in21k,0.0001,100,v4,1,16,17,64.9484,./BF/datasv4/strat_1/train
20240723_011300,tf_efficientnetv2_l.in21k,0.0001,100,v4,1,16,62,74.2268,./BF/datasv4/strat_1/train
20240723_010409,resnet50.tv_in1k,0.0001,100,v4,new10,16,19,65.9794,./BF/datasv4/strat_new10/train
20240723_012832,resnet50.tv_in1k,0.0001,100,v4,3,16,40,75.2577,./BF/datasv4/strat_3/train
20240723_014616,resnet101.tv_in1k,0.0001,100,v4,3,16,31,73.1959,./BF/datasv4/strat_3/train
20240723_013737,resnet101.tv_in1k,0.0001,100,v4,new10,16,10,70.1031,./BF/datasv4/strat_new10/train
20240723_020449,tf_efficientnetv2_m.in21k,0.0001,100,v4,3,16,66,73.1959,./BF/datasv4/strat_3/train
20240723_022434,tf_efficientnetv2_l.in21k,0.0001,100,v4,3,16,30,76.2887,./BF/datasv4/strat_3/train
20240723_021243,tf_efficientnetv2_m.in21k,0.0001,100,v4,new10,16,63,73.1959,./BF/datasv4/strat_new10/train
20240723_024530,resnet50.tv_in1k,0.0001,100,v4,5,16,62,71.1340,./BF/datasv4/strat_5/train
20240723_030713,resnet101.tv_in1k,0.0001,100,v4,5,16,63,77.3196,./BF/datasv4/strat_5/train
20240723_025036,tf_efficientnetv2_l.in21k,0.0001,100,v4,new10,16,11,80.4124,./BF/datasv4/strat_new10/train
20240723_032942,tf_efficientnetv2_m.in21k,0.0001,100,v4,5,16,57,71.1340,./BF/datasv4/strat_5/train
