timestamp,model_name,lr,n_epochs,version,strat,batch_size,best_epoch,best_test_accuracy,train_directory
20240722_131210,resnet50.tv_in1k,0.0001,100,v4,new1,16,48,67.0103,./BF/datasv4/strat_new1/train
20240722_131556,resnet50.tv_in1k,0.0001,100,v4,1,16,13,68.0412,./BF/datasv4/strat_1/train
20240722_132615,resnet101.tv_in1k,0.0001,100,v4,new1,16,59,69.0722,./BF/datasv4/strat_new1/train
20240722_132942,resnet101.tv_in1k,0.0001,100,v4,1,16,8,75.2577,./BF/datasv4/strat_1/train
20240722_134050,tf_efficientnetv2_m.in21k,0.0001,100,v4,new1,16,68,62.8866,./BF/datasv4/strat_new1/train
20240722_134322,tf_efficientnetv2_m.in21k,0.0001,100,v4,1,16,1,65.9794,./BF/datasv4/strat_1/train
20240722_135655,tf_efficientnetv2_l.in21k,0.0001,100,v4,new1,16,81,72.1649,./BF/datasv4/strat_new1/train
20240722_135825,tf_efficientnetv2_l.in21k,0.0001,100,v4,1,16,91,63.9175,./BF/datasv4/strat_1/train
20240722_141415,resnet50.tv_in1k,0.0001,100,v4,3,16,24,70.1031,./BF/datasv4/strat_3/train
20240722_141359,resnet50.tv_in1k,0.0001,100,v4,new3,16,79,76.2887,./BF/datasv4/strat_new3/train
20240722_143216,resnet101.tv_in1k,0.0001,100,v4,3,16,54,69.0722,./BF/datasv4/strat_3/train
20240722_143238,resnet101.tv_in1k,0.0001,100,v4,new3,16,78,75.2577,./BF/datasv4/strat_new3/train
20240722_145040,tf_efficientnetv2_m.in21k,0.0001,100,v4,3,16,60,71.1340,./BF/datasv4/strat_3/train
20240722_145138,tf_efficientnetv2_m.in21k,0.0001,100,v4,new3,16,58,76.2887,./BF/datasv4/strat_new3/train
20240722_151037,tf_efficientnetv2_l.in21k,0.0001,100,v4,3,16,54,79.3814,./BF/datasv4/strat_3/train
20240722_151237,tf_efficientnetv2_l.in21k,0.0001,100,v4,new3,16,69,85.5670,./BF/datasv4/strat_new3/train
20240722_153128,resnet50.tv_in1k,0.0001,100,v4,5,16,6,65.9794,./BF/datasv4/strat_5/train
20240722_153456,resnet50.tv_in1k,0.0001,100,v4,new5,16,13,73.1959,./BF/datasv4/strat_new5/train
20240722_155324,resnet101.tv_in1k,0.0001,100,v4,5,16,68,71.1340,./BF/datasv4/strat_5/train
20240722_155727,resnet101.tv_in1k,0.0001,100,v4,new5,16,42,81.4433,./BF/datasv4/strat_new5/train
20240722_161603,tf_efficientnetv2_m.in21k,0.0001,100,v4,5,16,27,71.1340,./BF/datasv4/strat_5/train
20240722_162053,tf_efficientnetv2_m.in21k,0.0001,100,v4,new5,16,88,89.6907,./BF/datasv4/strat_new5/train
20240722_164050,tf_efficientnetv2_l.in21k,0.0001,100,v4,5,16,31,87.6289,./BF/datasv4/strat_5/train
20240722_164633,tf_efficientnetv2_l.in21k,0.0001,100,v4,new5,16,22,91.7526,./BF/datasv4/strat_new5/train
20240722_170604,resnet50.tv_in1k,0.0001,100,v4,10,16,3,68.0412,./BF/datasv4/strat_10/train
20240722_173513,resnet101.tv_in1k,0.0001,100,v4,10,16,11,62.8866,./BF/datasv4/strat_10/train
20240722_180505,tf_efficientnetv2_m.in21k,0.0001,100,v4,10,16,14,74.2268,./BF/datasv4/strat_10/train
20240722_183749,tf_efficientnetv2_l.in21k,0.0001,100,v4,10,16,67,83.5051,./BF/datasv4/strat_10/train
20240814_214536,wide_resnet50_2.tv_in1k,0.01,100,v4,1,16,1,100.0000,./BF/datasv4/strat_1/train
20240814_215405,resnet152.tv_in1k,0.01,100,v4,1,16,0,100.0000,./BF/datasv4/strat_1/train
20240814_220255,wide_resnet50_2.tv_in1k,0.01,100,v4,new1,16,1,100.0000,./BF/datasv4/strat_new1/train
20240814_221141,resnet152.tv_in1k,0.01,100,v4,new1,16,1,100.0000,./BF/datasv4/strat_new1/train
20240814_222103,wide_resnet50_2.tv_in1k,0.01,100,v4,3,16,5,100.0000,./BF/datasv4/strat_3/train
20240814_224402,wide_resnet50_2.tv_in1k,0.01,100,v4,new3,16,2,100.0000,./BF/datasv4/strat_new3/train
20240815_001744,resnet50.tv_in1k,0.01,100,v4,1,16,1,100.0000,./BF/datasv4/strat_1/train
20240815_002615,resnet50.tv_in1k,0.009,100,v4,1,16,0,100.0000,./BF/datasv4/strat_1/train
20240815_003444,resnet101.tv_in1k,0.01,100,v4,1,16,3,100.0000,./BF/datasv4/strat_1/train
20240815_004324,resnet101.tv_in1k,0.009,100,v4,1,16,0,100.0000,./BF/datasv4/strat_1/train
20240815_005202,tf_efficientnetv2_m.in21k,0.01,100,v4,1,16,0,100.0000,./BF/datasv4/strat_1/train
20240815_010216,tf_efficientnetv2_m.in21k,0.009,100,v4,1,16,1,100.0000,./BF/datasv4/strat_1/train
20240815_024715,wide_resnet50_2.tv_in1k,0.008,100,v4,1,16,29,61.8557,./BF/datasv4/strat_1/train
20240815_025546,wide_resnet50_2.tv_in1k,0.008,100,v4,new1,16,78,62.8866,./BF/datasv4/strat_new1/train
